participantID,Trial,Number,Speed,Adjacency_combined,R,RNG,NSQ,RNG2,Coupon,TPI,Repetition gap (mean)
Eve,18,9,slow,,,,,,,,
Eve,18,8,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,19,10,Slow,,,,,,,,
Eve,19,2,Slow,,,,,,,,
Eve,19,1,Slow,,,,,,,,
Eve,19,9,Slow,,,,,,,,
Eve,19,7,Slow,,,,,,,,
Eve,19,5,Slow,,,,,,,,
Eve,19,8,Slow,,,,,,,,
Eve,19,6,Slow,,,,,,,,
Eve,19,2,Slow,,,,,,,,
Eve,19,3,Slow,,,,,,,,
Eve,19,4,Slow,,,,,,,,
Eve,19,10,Slow,,,,,,,,
Eve,19,5,Slow,,,,,,,,
Eve,19,6,Slow,,,,,,,,
Eve,19,3,Slow,,,,,,,,
Eve,19,7,Slow,,,,,,,,
Eve,19,9,Slow,,,,,,,,
Eve,19,1,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,20,4,slow,,,,,,,,
Eve,20,7,slow,,,,,,,,
Eve,20,3,slow,,,,,,,,
Eve,20,2,slow,,,,,,,,
Eve,20,6,slow,,,,,,,,
Eve,20,8,slow,,,,,,,,
Eve,20,9,slow,,,,,,,,
Eve,20,4,slow,,,,,,,,
Eve,20,10,slow,,,,,,,,
Eve,20,3,slow,,,,,,,,
Eve,20,7,slow,,,,,,,,
Eve,20,5,slow,,,,,,,,
Eve,20,1,slow,,,,,,,,
Eve,20,9,slow,,,,,,,,
Eve,20,3,slow,,,,,,,,
Eve,20,4,slow,,,,,,,,
Eve,20,7,slow,,,,,,,,
Eve,20,9,slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,21,4,fast,,,,,,,,
Eve,21,6,fast,,,,,,,,
Eve,21,5,fast,,,,,,,,
Eve,21,10,fast,,,,,,,,
Eve,21,8,fast,,,,,,,,
Eve,21,3,fast,,,,,,,,
Eve,21,1,fast,,,,,,,,
Eve,21,2,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,22,7,fast,,,,,,,,
Eve,22,9,fast,,,,,,,,
Eve,22,8,fast,,,,,,,,
Eve,22,6,fast,,,,,,,,
Eve,22,4,fast,,,,,,,,
Eve,22,5,fast,,,,,,,,
Eve,22,6,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,23,1,Slow,,,,,,,,
Eve,23,3,Slow,,,,,,,,
Eve,23,10,Slow,,,,,,,,
Eve,23,4,Slow,,,,,,,,
Eve,23,7,Slow,,,,,,,,
Eve,23,9,Slow,,,,,,,,
Eve,23,2,Slow,,,,,,,,
Eve,23,5,Slow,,,,,,,,
Eve,23,8,Slow,,,,,,,,
Eve,23,7,Slow,,,,,,,,
Eve,23,5,Slow,,,,,,,,
Eve,23,9,Slow,,,,,,,,
Eve,23,3,Slow,,,,,,,,
Eve,23,4,Slow,,,,,,,,
Eve,23,1,Slow,,,,,,,,
Eve,23,10,Slow,,,,,,,,
Eve,23,2,Slow,,,,,,,,
Eve,23,8,Slow,,,,,,,,
Eve,23,5,Slow,,,,,,,,
Eve,23,7,Slow,,,,,,,,
Eve,23,10,Slow,,,,,,,,
Eve,,,,,,,,,,,
Eve,24,3,fast,,,,,,,,
Eve,24,5,fast,,,,,,,,
Eve,24,7,fast,,,,,,,,
Eve,24,2,fast,,,,,,,,
Eve,24,6,fast,,,,,,,,
Eve,24,1,fast,,,,,,,,
Eve,,,,,,,,,,,
Eve,25,10,fast,,,,,,,,
Eve,25,2,fast,,,,,,,,
